status,first_name,last_name,company_name,email_id,mobile_no,country,source,territory,salutation,middle_name,job_title,lead_owner,type,website,city,state,phone,whatsapp_no,qualification_status,blog_subscriber,no_of_employees,annual_revenue,language,industry,market_segment,gender,fax
Opportunity,Nikolai,Radu,Willowmere Diagnostics,n.radu@willowmeredx.com,,United States,Warm intro — Advisor,,,,,Rachel Ohaeri,Client,,,,,,Qualified,0,,128000.0,,,,,
Interested,Vera,Zajac,Selby Instruments,v.zajac@selbyinst.com,,United States,Inbound — Demo request,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,50000.0,,,,,
Interested,Malia,Moreau,Caldwell Diagnostics,m.moreau@caldwelldx.com,,United States,Existing client — expansion,,,,,Amara Okonkwo,Client,,,,,,In Process,0,,65000.0,,,,,
Lead,Bianca,Nowak,Thornbury BioScience,b.nowak@thornburybio.com,,United States,Product trial — Blog CTA,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Umar,Yilmaz,Argent Molecular,u.yilmaz@argentmol.com,,United States,Content download — Case Study,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,26000.0,,,,,
Interested,Oscar,Sharma,Beacon Assay Systems,o.sharma@beaconassay.com,,United States,Conference — SLAS 2025,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,55500.0,,,,,
Lead,Kenji,Ferreira,Cove Instruments,k.ferreira@coveinst.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Jamal,Kapoor,Delaney BioScience,j.kapoor@delaneybio.com,,United States,Referral — Partner,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,67000.0,,,,,
Interested,Henry,Moreau,Enfield Reagents,h.moreau@enfieldreagents.com,,United States,Webinar — Diagnostics ROI,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,34000.0,,,,,
Replied,Cormac,Sato,Fenland Diagnostics,c.sato@fenlanddx.com,,United States,Trade publication — GEN,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,22000.0,,,,,
Lead,Neha,Farouk,Corvex Molecular,n.farouk@corvexmol.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Alistair,Osei,Radial Biosystems,a.osei@radialbio.com,,United States,Outbound — SDR sequence,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,46500.0,,,,,
Interested,Selin,Solheim,Larkspur Bio,s.solheim@larkspurbio.com,,United States,Analyst inquiry,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,72000.0,,,,,
Lead,Hana,Janik,Ashcroft Assays,h.janik@ashcroftassays.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Ivaan,Winterbourne,Bellwether Reagents,i.winterbourne@bellwetherreagents.com,,United States,Conference — AACC 2025,,,,,Sun-Hi Park,Client,,,,,,Qualified,0,,115000.0,,,,,
Interested,Imani,Ferreira,Halcyon Analytical,i.ferreira@halcyonanalytical.com,,United States,LinkedIn — Sponsored Content,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,40500.0,,,,,
Interested,Tariq,Beaulieu,Meadowbrook Genomics,t.beaulieu@meadowbrookgx.com,,United States,Referral — Existing client,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,61000.0,,,,,
Lead,Sofia,Sokolov,Silverpine Therapeutics,s.sokolov@silverpinetx.com,,United States,Product trial — Referral link,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Imani,Ostrowski,Windrow Scientific,i.ostrowski@windrowsci.com,,United States,Warm intro — Advisor,,,,,Marisol Aguirre,Client,,,,,,Qualified,0,,99000.0,,,,,
Interested,Sofia,Tanaka,Norwich Bioinstruments,s.tanaka@norwichbio.com,,United States,Conference — Bio-IT World,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,47000.0,,,,,
Lead,Aisha,Larsen,Kestrel Diagnostics,a.larsen@kestreldx.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Lead,Leila,Ainsley,Northgate BioLabs,l.ainsley@northgatebiolabs.com,,United States,Product trial — Blog CTA,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Ingrid,Verma,Sedgwick Reagents,i.verma@sedgwickreagents.com,,United States,Inbound — RFP,,,,,Devon Blackthorne,Client,,,,,,Qualified,0,,145000.0,,,,,
Interested,Renata,Osei,Ashvale Molecular,r.osei@ashvalemol.com,,United States,Webinar — Q4 Genomics Series,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,43500.0,,,,,
Lead,Priyanka,Quintero,Chartwell Instruments,p.quintero@chartwellinst.com,,United States,Product trial — Blog CTA,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Rohit,Wei,Draycott Genomics,r.wei@draycottgx.com,,United States,Outbound — SDR sequence,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,53000.0,,,,,
Interested,Magnus,Manaia,Elmwood BioScience,m.manaia@elmwoodbio.com,,United States,Conference — MEDICA 2025,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,58000.0,,,,,
Replied,Freya,Nazarov,Ferncliff Diagnostics,f.nazarov@ferncliffdx.com,,United States,Trade publication — GEN,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,23500.0,,,,,
Lead,Viktor,Beringer,Gairloch Analytical,v.beringer@gairlochanalytical.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Klaus,Lindqvist,Harborlight Bio,k.lindqvist@harborlightbio.com,,United States,LinkedIn — Sponsored Content,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,37500.0,,,,,
Interested,Gustav,Zajac,Isley Reagents,g.zajac@isleyreagents.com,,United States,Referral — Partner,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,49500.0,,,,,
Lead,Freya,Kekoa,Jerbrook Diagnostics,f.kekoa@jerbrookdx.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Umar,Chandra,Kilburn Molecular,u.chandra@kilburnmol.com,,United States,Analyst inquiry,,,,,Devon Blackthorne,Client,,,,,,Qualified,0,,88000.0,,,,,
Interested,Marcus,Cortez,Ledbury Assays,m.cortez@ledburyassays.com,,United States,Warm intro — Advisor,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,60000.0,,,,,
Interested,Malia,Lombardi,Merit BioScience,m.lombardi@meritbio.com,,United States,Content download — Case Study,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,32500.0,,,,,
Lead,Cormac,Terzic,Newbury Instruments,c.terzic@newburyinst.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Grace,Lombardi,Orleans Genomics,g.lombardi@orleansgx.com,,United States,Inbound — Demo request,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,54500.0,,,,,
Opportunity,Amelia,Nakamura,Pemberton Diagnostics,a.nakamura@pembertondx.com,,United States,Conference — SLAS 2025,,,,,Marisol Aguirre,Client,,,,,,Qualified,0,,112000.0,,,,,
Lead,Nadia,Quintero,Quenton BioLabs,n.quintero@quentonbiolabs.com,,United States,Product trial — Organic search,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Tariq,Vasquez,Ramsey Analytical,t.vasquez@ramseyanalytical.com,,United States,Outbound — SDR sequence,,,,,Tomasz Bergstrom,Client,,,,,,In Process,0,,39000.0,,,,,
Interested,Nia,Chiu,Sutherland Reagents,n.chiu@sutherlandreagents.com,,United States,Webinar — Diagnostics ROI,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,45500.0,,,,,
Lead,Amir,Petrov,Trellis Molecular,a.petrov@trellismol.com,,United States,Product trial — Website,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Chen,Ustinov,Underhill Bio,c.ustinov@underhillbio.com,,United States,Referral — Existing client,,,,,Devon Blackthorne,Client,,,,,,Qualified,0,,101500.0,,,,,
Interested,Oscar,Kapoor,Verona Assays,o.kapoor@veronaassays.com,,United States,Conference — Bio-IT World,,,,,Sun-Hi Park,Client,,,,,,In Process,0,,48500.0,,,,,
Lead,Jovana,Kapoor,Whitfield Diagnostics,j.kapoor@whitfielddx.com,,United States,Product trial — Free tier,,,,,,,,,,,,Unqualified,0,,,,,,,
Lead,Hana,Haddad,Xanthe Instruments,h.haddad@xantheinst.com,,United States,Product trial — Google Ad,,,,,,,,,,,,Unqualified,0,,,,,,,
Interested,Zara,Nowak,Yorktown Bioscience,z.nowak@yorktownbio.com,,United States,Content download — Whitepaper,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,29000.0,,,,,
Interested,Priya,Al-Sayed,Zephyr Genomics,p.al-sayed@zephyrgx.com,,United States,Trade publication — GEN,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,41000.0,,,,,
Lead,Yasmin,Grondin,Alderman Diagnostics,y.grondin@aldermandx.com,,United States,Product trial — Referral link,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Mikhail,Yilmaz,Bosworth BioScience,m.yilmaz@bosworthbio.com,,United States,Warm intro — Advisor,,,,,Tomasz Bergstrom,Client,,,,,,Qualified,0,,93000.0,,,,,
Interested,Amir,Mancini,Colvin Reagents,a.mancini@colvinreagents.com,,United States,Analyst inquiry,,,,,Rachel Ohaeri,Client,,,,,,In Process,0,,66500.0,,,,,
Interested,Vera,Falcon,Deerfield Molecular,v.falcon@deerfieldmol.com,,United States,Conference — AACC 2025,,,,,Devon Blackthorne,Client,,,,,,In Process,0,,59500.0,,,,,
Lead,Oscar,Farouk,Estwick Instruments,o.farouk@estwickinst.com,,United States,Product trial — Blog CTA,,,,,,,,,,,,Unqualified,0,,,,,,,
Opportunity,Boris,Grondin,Fairhaven Analytical,b.grondin@fairhavenanalytical.com,,United States,Inbound — RFP,,,,,Sun-Hi Park,Client,,,,,,Qualified,0,,155500.0,,,,,
Interested,Torsten,Orozco,Glenridge BioLabs,t.orozco@glenridgebiolabs.com,,United States,Webinar — Q4 Genomics Series,,,,,Kenji Watanabe,Client,,,,,,In Process,0,,42500.0,,,,,
Interested,Kenji,Okafor,Halewood Diagnostics,k.okafor@halewooddx.com,,United States,Referral — Partner,,,,,Erik Vaskovic,Client,,,,,,In Process,0,,55000.0,,,,,
Interested,Jamal,Wei,Ivywood Assays,j.wei@ivywoodassays.com,,United States,Outbound — SDR sequence,,,,,Marisol Aguirre,Client,,,,,,In Process,0,,36500.0,,,,,
